hgnc_id	symbol
15766	ADNP
23803	ADNP2
23506	ADO
262	ADORA1
263	ADORA2A
264	ADORA2B
268	ADORA3
25250	ADPGK
269	ADPRH
21303	ADPRHL1
21304	ADPRHL2
30925	ADPRM
277	ADRA1A
278	ADRA1B
280	ADRA1D
281	ADRA2A
282	ADRA2B
283	ADRA2C
285	ADRB1
286	ADRB2
288	ADRB3
15759	ADRM1
291	ADSL
292	ADSS
20093	ADSSL1
21214	ADTRP
303	AEBP1
24051	AEBP2
25722	AEN
307	AES
24017	AFAP1
26714	AFAP1L1
25901	AFAP1L2
7137	AFDN
7135	AFF1
3776	AFF2
6473	AFF3
17869	AFF4
16411	AFG1L
315	AFG3L2
316	AFM
20910	AFMID
317	AFP
25951	AFTPH
318	AGA
16922	AGAP1
16921	AGAP2
16923	AGAP3
23459	AGAP4
23467	AGAP5
23466	AGAP6
23463	AGAP9
26504	AGBL1
26296	AGBL2
27981	AGBL3
25892	AGBL4
26147	AGBL5
320	AGER
5175	AGFG1
5177	AGFG2
24684	AGGF1
21869	AGK
321	AGL
18407	AGMAT
33784	AGMO
3262	AGO1
3263	AGO2
18421	AGO3
18424	AGO4
324	AGPAT1
325	AGPAT2
326	AGPAT3
20885	AGPAT4
20886	AGPAT5
327	AGPS
328	AGR2
24167	AGR3
329	AGRN
330	AGRP
333	AGT
17258	AGTPBP1
336	AGTR1
338	AGTR2
13539	AGTRAP
341	AGXT
14412	AGXT2
24618	AHCTF1
343	AHCY
344	AHCYL1
22204	AHCYL2
25230	AHDC1
21575	AHI1
347	AHNAK
20125	AHNAK2
348	AHR
346	AHRR
1189	AHSA1
20437	AHSA2
349	AHSG
18075	AHSP
13203	AICDA
25761	AIDA
352	AIF1
28904	AIF1L
8768	AIFM1
21411	AIFM2
26398	AIFM3
21607	AIG1
357	AIM2
10648	AIMP1
20609	AIMP2
358	AIP
359	AIPL1
360	AIRE
30801	AJAP1
20250	AJUBA
361	AK1
362	AK2
17376	AK3
363	AK4
365	AK5
49151	AK6
20091	AK7
26526	AK8
33814	AK9
28285	AKAIN1
367	AKAP1
372	AKAP2
373	AKAP3
374	AKAP4
375	AKAP5
376	AKAP6
377	AKAP7
378	AKAP8
29857	AKAP8L
379	AKAP9
368	AKAP10
369	AKAP11
370	AKAP12
371	AKAP13
24061	AKAP14
18783	AKAP17A
1170	AKIP1
25744	AKIRIN1
21407	AKIRIN2
24108	AKNA
28398	AKNAD1
380	AKR1A1
381	AKR1B1
382	AKR1B10
37281	AKR1B15
384	AKR1C1
385	AKR1C2
386	AKR1C3
387	AKR1C4
388	AKR1D1
23437	AKR1E2
389	AKR7A2
390	AKR7A3
24056	AKR7L
391	AKT1
28426	AKT1S1
392	AKT2
393	AKT3
16710	AKTIP
395	ALAD
396	ALAS1
397	ALAS2
399	ALB
400	ALCAM
402	ALDH1A1
15472	ALDH1A2
409	ALDH1A3
407	ALDH1B1
3978	ALDH1L1
26777	ALDH1L2
404	ALDH2
405	ALDH3A1
403	ALDH3A2
410	ALDH3B1
411	ALDH3B2
406	ALDH4A1
408	ALDH5A1
7179	ALDH6A1
877	ALDH7A1
15471	ALDH8A1
412	ALDH9A1
28114	ALDH16A1
9722	ALDH18A1
414	ALDOA
417	ALDOB
418	ALDOC
18294	ALG1
33721	ALG1L
37258	ALG1L2
23159	ALG2
23056	ALG3
20266	ALG5
23157	ALG6
23161	ALG8
15672	ALG9
23162	ALG10
31088	ALG10B
32456	ALG11
19358	ALG12
30881	ALG13
28287	ALG14
427	ALK
33775	ALKAL1
27683	ALKAL2
17911	ALKBH1
32487	ALKBH2
30141	ALKBH3
21900	ALKBH4
25996	ALKBH5
28243	ALKBH6
21306	ALKBH7
25189	ALKBH8
17377	ALLC
428	ALMS1
435	ALOX5
436	ALOX5AP
429	ALOX12
430	ALOX12B
433	ALOX15
434	ALOX15B
13743	ALOXE3
437	ALPI
20917	ALPK1
20565	ALPK2
17574	ALPK3
438	ALPL
439	ALPP
441	ALPPL2
443	ALS2
20605	ALS2CL
14439	ALS2CR12
1494	ALX1
449	ALX3
450	ALX4
19071	ALYREF
451	AMACR
452	AMBN
453	AMBP
25990	AMBRA1
457	AMD1
28577	AMDHD1
24262	AMDHD2
461	AMELX
462	AMELY
26837	AMER1
26360	AMER2
26771	AMER3
463	AMFR
464	AMH
465	AMHR2
20824	AMIGO1
24073	AMIGO2
24075	AMIGO3
467	AMMECR1
28658	AMMECR1L
14604	AMN
27281	AMN1
17810	AMOT
17811	AMOTL1
17812	AMOTL2
468	AMPD1
469	AMPD2
470	AMPD3
471	AMPH
473	AMT
33188	AMTN
474	AMY1A
475	AMY1B
476	AMY1C
477	AMY2A
478	AMY2B
22231	AMZ1
28041	AMZ2
19988	ANAPC1
19989	ANAPC2
19990	ANAPC4
15713	ANAPC5
17380	ANAPC7
24077	ANAPC10
14452	ANAPC11
24540	ANAPC13
24531	ANAPC15
26976	ANAPC16
483	ANG
19961	ANGEL1
30534	ANGEL2
484	ANGPT1
485	ANGPT2
487	ANGPT4
489	ANGPTL1
490	ANGPTL2
491	ANGPTL3
16039	ANGPTL4
19705	ANGPTL5
