HGNC symbol	HGNC ID
AKR1C1	384
ATP11A-AS1	40645
ATP11A	13552
TYK2	12440
STARD13-AS	40873
OR14J1	13971
IMPDH1P5	33960
PTCD2P2	45168
OR10C1	8165
LINC01226	49678
STARD13-IT1	41453
OR12D3	13963
OR5V1	13972
LINC01903	52722
CYCSP41	2580
INO80C	26994
BAGE2	15723
OR11A1	8176
DSEL	18144
LINC01225	49677
PRDX3P3	39266
HCG20	31334
TINAGL1	19168
DIO2	2884
MRPL39	14027
GOLGA8DP	32376
CDHR5	7521
KIR2DL4	6332
CHURC1	20099
DIO2-AS1	44153
PDPN	29602
LINC00345	42503
LSM14A	24489
LRCH1	20309
FNTB	3785
TEX10	25988
TEC	11719
LINC01829	52635
VPS52	10518
LINC01828	52634
ACBD5	23338
CHURC1-FNTB	42960
IGHV1-46	5554
TLN1	11845
HCG25	20196
DLG5	2904
TLR7	15631
RAB15	20150
IGKV1OR9-2	49466
GSTT1	4641
RPL21	10313
SUCLG1	11449
RNMT	10075
TLR8	15632
DDR1-AS1	28694
SPG21	20373
LINC01186	49573
TLR8-AS1	40720
HLA-DPB1	4940
GPX2	4554
IGHVII-46-1	5682
LINC00609	43960
PTCSC3	43959
MAX	6913
ADAMTS3	219
LINC02255	53153
SNX5P1	41512
CCDC158	26374
SLC2AXP1	31077
GBA2	18986
RPL9P7	30335
TNXB	11976
CXorf58	26356
SLC25A51P2	23327
APOO	28727
HLA-DPA1	4938
IGHV3-47	5605
IGHVIII-47-1	5701
FTH1P7	3994
IGHV3-48	5606
RPS2	10404
TMSB4X	11881
DDX39AP1	39664
SCTR	10608
IGHV3-49	5607
INPP5B	6077
GAPDHP65	4143
RPL7AP73	41968
IGHVII-49-1	5683
IPMKP1	39354
LINC02285	53202
IGHV3-50	5608
UQCR11	30862
C6orf48	19078
RFESDP1	39420
RBMY1HP	9916
RPS29P11	36413
IGHV5-51	5659
MTND4P9	42226
NUS1P2	38473
MTND4LP22	42256
LINC00621	44227
LRRC25	29806
BASP1P1	39418
MBD3	6918
DPYSL5	20637
TMEM87A	24522
IGHVIII-51-1	5704
MTND3P5	42154
IGHVII-51-2	5684
ERAS	5174
CYP21A2	2600
IGHV3-52	5609
NAT8	18069
HLA-N	19406
LINC00524	20118
FAM210A	28346
CREB3	2347
MTCO3P44	52147
SERPINB1	3311
PROSER2-AS1	27343
IGHV3-53	5610
PCSK1N	17301
LINC02314	53233
ALMS1P1	29586
PROSER2	23728
C21orf62	1305
FOXD4L6	31986
FRG1HP	51767
C21orf62-AS1	1290
NMU	7859
FAM138E	32335
KDM1B	21577
APMAP	13238
STATH	11369
ZSCAN16-AS1	48982
NFATC1	7775
ZSCAN16	20813
PRX	13797
PGM5P2	18965
NACC1	20967
ABCB11	42
KRBOX4	26007
LINC00929	48615
FCAR	3608
NAT8B	30235
RPL13AP6	23737
DCTN5	24594
PRR25	37230
CBWD6	31978
GOLGA6L22	50289
C2CD4C	29417
SHOC2	15454
PIGK	8965
FAM91A3P	32273
FAM230C	24482
MAGEA9B	31909
IGHVII-53-1	5685
EIF4A1P9	37928
LRRC30	30219
UBQLN1P1	21633
IFI27L1	19754
IGHV3-54	5611
HMGA1P6	19121
ATF6B	2349
METAP1	15789
RPS19	10402
IGHV4-55	5653
DCLK2	19002
FREM2-AS1	39964
LINC00362	42682
LINC01021	48995
LINC02152	53014
CAAP1	25834
OR2H1	8252
FREM2	25396
IGHV7-56	5667
CABIN1	24187
MSANTD3-TMEFF1	38838
MICC	7092
CLYBL-AS2	39894
RBBP8P1	39583
GGT4P	33207
IGHV3-57	5612
TMEFF1	11866
CLYBL	18355
DOCK11	23483
SCT	10607
GSDMD	25697
TPTE2P3	27345
MAPRE3	6892
RBMY1A1	9912
SETD8P1	30088
TFAP2A	11742
FAM199X	25195
BCAP31	16695
ABT1P1	39557
MSANTD3	23370
TTC34	34297
MED15P3	48652
RBM43P1	46024
GLRXP2	18376
SLC6A1-AS1	40546
SLC6A1	11042
KCNK13	6275
HEMK1	24923
FRMD4B	24886
OSGEPL1	23075
FAM213B	28390
LINC00923	28088
